surveyid,village,survey_date,femaleres,age,married,children,hhsize,edu,asset_livestock,asset_durable,asset_phone,asset_savings,asset_land_owned_total,asset_niceroof,cons_ed,cons_social,cons_other,ent_wagelabor,ent_ownfarm,ent_business,ent_nonagbusiness,ent_employees,ent_nonag_revenue,ent_nonag_flowcost,ent_farmrevenue,ent_farmexpenses,ent_animalstockrev,labor_primary,wage_expenditures,durable_investment,nondurable_investment,given_mpesa,amount_given_mpesa,received_mpesa,amount_received_mpesa,net_mpesa,saved_mpesa,amount_saved_mpesa,early_survey,depressed,day_of_week
926,91,23-Nov-61,1,28.0,1,4,6,10,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,1,0.0,0,0,5
747,57,24-Oct-61,1,23.0,1,3,5,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,4.8046112,4.8046112,0,0.0,0,1,3
1190,115,05-Oct-61,1,22.0,1,3,5,9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,8.0076847,8.0076847,1,0.0,0,0,5
1065,97,23-Sep-61,1,27.0,1,2,4,10,526.67108,196.98904,24.023054000000002,49.647648,0.0,0,1.6816137999999998,39.7715,44.042266999999995,0,1,0,1,0,32.030739000000004,0.0,22.288055,1.8751328999999999,16.282293,0,0,778.1123,69.219765,0,0.0,0,0.0,0.0,1,1.2491989,0,0,0
806,42,12-Sep-61,0,59.0,0,4,6,10,8.2606287,173.52653999999998,19.218445000000003,0.0,0.5,0,2.2688441000000004,8.0877619,74.503502,1,0,0,0,0,0.0,0.0,0.53384566,2.0731006,0.0,1,0,201.00562,4.3419447,0,0.0,0,0.0,0.0,0,0.0,0,0,3
483,25,08-Sep-61,1,35.0,1,6,8,10,359.37466,73.6707,0.0,0.0,1.7,0,2.6692283,3.0696127,11.531066000000001,0,1,0,1,0,4.8046112,4.8046112,2.2688441000000004,0.18907036,0.0,0,0,444.2561,7.6629095000000005,0,0.0,0,0.0,0.0,0,0.0,0,0,6
849,130,31-Oct-61,0,34.0,0,1,3,9,4.1303144,219.25041000000002,0.0,0.0,1.0,0,0.53384566,0.066730708,10.890450999999999,0,0,0,0,0,0.0,0.0,0.26692283,0.022243568999999998,0.0,0,0,225.62287999999998,0.55608922,0,0.0,0,0.0,0.0,0,0.0,0,1,3
1386,72,03-Sep-61,1,21.0,1,2,4,10,120.13633,203.23505,67.264557,48.046108000000004,0.0,0,2.8560743,0.80076849,5.845610099999999,0,0,1,0,0,0.0,0.0,9.275569,3.6979933,0.0,0,0,339.22659,54.600173999999996,0,0.0,0,0.0,0.0,0,0.0,0,0,1
930,195,12-Nov-61,1,32.0,1,7,9,9,1108.7568,252.24208,24.023054000000002,80.076851,4.0,0,15.134523999999999,30.162281,67.18447900000001,1,0,0,0,0,0.0,0.0,32.564587,28.738690999999996,24.690361,1,0,1401.8381,151.17619,0,0.0,0,0.0,0.0,0,0.0,0,0,1
390,33,28-Nov-61,1,29.0,1,4,6,10,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,3
540,52,26-Oct-61,1,84.0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1,5
557,93,15-Sep-60,1,59.0,0,2,3,9,101.8915,47.245342,0.0,0.0,2.0,0,14.013449,2.6291900000000004,30.108896,0,0,0,0,0,0.0,0.0,6.6730709,1.3968961000000002,0.0,1,0,157.14453,20.214956,0,0.0,0,0.0,0.0,0,0.0,1,0,5
1280,232,03-Nov-61,1,38.0,1,4,6,10,12.390944000000001,191.86414,40.038425,0.0,2.5,0,7.4738393,10.810375,49.8078,0,0,0,0,0,0.0,0.0,7.2069163,5.672110099999999,16.015369,0,0,207.45816000000002,15.708407999999999,0,0.0,0,0.0,0.0,0,0.0,0,0,6
1195,92,18-Sep-61,1,27.5,1,4,6,10,165.21258999999998,371.55658,40.038425,0.0,3.5,0,6.6730709,21.220366000000002,105.06083000000001,0,1,0,0,0,0.0,0.0,31.09651,2.2688441000000004,15.281332999999998,0,0,624.05292,12.144989,0,0.0,0,0.0,0.0,1,0.0,0,0,2
603,100,21-Sep-60,1,56.0,1,0,2,12,935.9636800000001,211.40287999999998,0.0,59.25686999999999,2.5,0,0.0,34.566505,72.469551,0,1,0,0,0,0.0,0.0,4.377534900000001,7.7808008,0.0,0,0,1240.2556,71.20166800000001,0,0.0,0,0.0,0.0,0,0.0,1,1,4
729,54,20-Sep-61,1,24.0,1,2,5,10,110.8353,122.19726999999999,19.218445000000003,1.601537,1.0,0,0.0,3.8169962999999996,37.860336,0,1,0,0,0,0.0,0.0,2.1353827,0.37814063,8.0076847,0,0,239.91919,4.862443900000001,0,0.0,0,0.0,0.0,0,0.0,0,0,4
770,102,29-Oct-61,1,25.0,1,3,5,10,37.172832,75.432396,32.030739000000004,8.0076847,0.0,0,0.0,4.0705733,40.278656,0,1,0,0,0,0.0,0.0,6.406148,4.4843035,2.4023056,0,0,115.96846000000001,12.491988000000001,0,0.0,0,0.0,0.0,1,0.0,0,0,1
76,15,28-Nov-61,1,44.0,1,5,7,12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,3
1374,267,19-Nov-61,1,32.0,1,4,6,9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,1
379,22,18-Oct-61,1,26.0,1,2,4,7,8.2606287,204.19597,32.030739000000004,0.0,0.75,0,1.0543453,2.5357667999999998,9.9295292,0,1,0,1,0,0.0,0.0,4.2707653,2.6247411,0.0,0,0,264.50653,3.6790862,0,0.0,0,0.0,0.0,0,0.0,0,0,4
1001,207,28-Nov-61,1,40.0,0,0,2,7,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1,3
1356,198,01-Nov-61,1,55.0,0,0,1,6,171.42671,83.440079,0.0,2.4023056,1.0,0,0.0,16.495831,42.985252,0,0,0,0,0,0.0,0.0,0.48046109,5.845610099999999,0.0,0,0,257.42926,12.091604,0,0.0,0,0.0,0.0,0,0.0,0,1,4
137,9,21-Jul-60,1,34.0,1,3,5,10,0.0,190.5829,32.030739000000004,0.0,0.0,0,2.6558821,4.9380727,30.221003000000003,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,249.03900000000002,2.6558821,0,0.0,0,0.0,0.0,0,0.0,1,0,5
840,102,07-Nov-61,1,43.0,1,4,9,4,12.390944000000001,189.78214,32.030739000000004,8.0076847,3.0,0,12.411912,1.8684598000000001,23.542593,1,0,0,1,0,28.827665000000003,6.406148,5.8322639,2.4212127,4.8046112,1,0,211.7823,29.246958000000003,0,0.0,0,0.0,0.0,0,0.0,0,1,3
309,25,12-Sep-61,1,51.0,1,2,5,12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1,3
1078,164,22-Sep-61,1,28.0,1,3,5,10,756.9625900000001,466.04727,40.038425,0.0,2.5,0,1.3346142,0.53384566,6.726455199999999,0,1,0,0,0,0.0,0.0,9.2088375,0.67842889,20.019213,0,0,1335.1174,2.0130429,0,0.0,0,0.0,0.0,0,0.0,0,0,6
519,50,06-Dec-61,1,53.0,1,4,6,9,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,9.6092224,9.6092224,1,0.0,0,0,4
1156,69,20-Oct-61,1,26.0,1,3,5,11,37.172832,271.46051,40.038425,0.0,2.0,0,4.8046112,15.481523999999999,41.639961,1,0,0,0,0,0.0,0.0,4.4042268,3.3031699999999997,0.0,1,0,320.64487,8.1077814,0,0.0,0,0.0,0.0,1,32.030739000000004,0,0,6
1324,281,15-Nov-61,1,23.0,1,2,4,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,4
404,86,29-Nov-61,1,36.0,1,5,8,12,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,8.0076847,8.0076847,1,0.0,0,0,4
1385,108,13-Sep-61,1,27.0,1,3,5,8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,4
150,31,14-Nov-61,1,44.0,0,3,4,8,53.694088,44.843037,0.0,2.4023056,1.0,0,21.220366000000002,3.0696127,39.557964,0,0,0,0,0,0.0,0.0,8.0076847,2.6024976000000004,0.0,1,0,103.34174,28.627474,0,0.0,0,0.0,0.0,0,0.0,0,0,3
1237,20,13-Sep-61,0,40.0,1,5,9,11,24.781887,513.93323,28.827665000000003,0.0,4.25,0,24.823824,6.0057635000000005,289.09344,0,1,0,0,0,0.0,0.0,25.144130999999998,4.902483,0.0,0,0,639.93225,35.331688,0,0.0,0,0.0,0.0,0,0.0,0,0,4
993,92,24-Sep-61,1,19.0,1,2,4,10,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0,1
810,135,15-Sep-60,1,27.0,1,3,5,8,824.77118,219.41057,48.046108000000004,8.0076847,0.0,0,3.203074,7.740762200000001,15.086478,0,1,0,0,0,0.0,0.0,9.3422985,4.0705733,1.601537,0,0,1113.0479,18.484406,0,0.0,0,0.0,0.0,0,0.0,1,0,5
823,27,31-Aug-61,1,31.0,1,2,4,10,20.651573000000003,311.9794,35.233814,32.030739000000004,0.40000001,0,1.9018252,1.1611143,2.8026897999999996,0,0,1,1,0,54.452259,40.785809,0.1134422,1.0104141,0.8408068999999999,0,0,367.86478,75.72879,0,0.0,0,0.0,0.0,0,0.0,0,0,5
574,23,16-Oct-61,1,27.0,1,3,5,10,0.0,68.06532299999999,0.0,0.0,0.0,0,2.0019212,2.8694205000000004,5.204995200000001,1,0,0,0,0,0.0,0.0,2.8827665000000002,1.0409991,24.823824,1,0,68.06532299999999,3.0429201,0,0.0,0,0.0,0.0,0,0.0,0,0,2
403,5,04-Oct-61,1,27.0,1,4,6,8,111.51848999999999,173.60661000000002,16.015369,11.210759,0.5,0,1.4680754999999999,4.8046112,28.187052,0,0,1,1,0,38.436890000000005,32.030739000000004,0.3203074,0.36034581,2.2688441000000004,0,0,298.578,46.671452,0,0.0,0,0.0,0.0,0,0.0,0,0,4
632,57,30-Nov-61,0,35.0,0,0,1,13,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,1,0.0,0,0,5
